iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,Gender Equality,Children's Rights,Cultural and Linguistic Diversity,Fairness and Non-discrimination,Transparency and Explainability,Human Oversight and Determination,Environmental Impact,Labour Protections,Reskilling and upskilling initiatives,AI Literacy,Safety and Security,Access to Redress and Remedy,Impact Assessments,AI-facilitated Misinformation and Violence,Public Sector Skills Development,Public Disclosure of Government Algorithmic Systems,Public Procurement,Civil Society Engagement in Inclusion and Diversity,Civil Society Engagement in Ethics and Sustainability,Civil Society Engagement in Labour and Skills,Civil Society Engagement in Trust and Safety,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Egalitarian Democracy,Device affordability,Gender gap in mobile internet,Low-Carbon Energy Share,Rule of Law,Skills and Literacy,Labour Rights Compliance,Cybersecurity,Data Protection and Privacy,Data Sharing and Access,Consumer Protection,Global Peace,Civil Society Accountability,Public Service Delivery,Access to Public Information,URAI Penalty
ITA,Italy,Europe,Western Europe,Developed,Europe & Central Asia,High income,62014.27,72.71,72.71,62.73,73.86,72.35,82.95,82.95,74.55,80.68,73.18,73.11,73.18,83.64,73.86,73.18,88.64,72.88,62.9,63.92,15.38,76.92,65.64,30.77,70,76.81,73.62,100,50.17,67.98,94.13,47.58,100,100,93.75,100,81.51,79.97,90.07,64.58,1
JAM,Jamaica,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,12890.27,24.37,24.37,0,0,0,9.09,71.82,67.05,0,0,18.18,9.09,9.09,0,0,9.09,9.09,0,0,7.69,0,30.77,0,0,77.54,36.14,100,12.6,51.21,64.8,56.07,55.93,41.8,43.75,75.42,63.8,91.8,66.73,40.52,1
JOR,Jordan,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10821.49,40.46,40.46,46.21,0,0,40.15,37.88,46.21,0,62.5,72.35,65.53,72.16,46.97,17.05,0,40.72,0,56.82,7.69,0,51.28,4.4,57.5,23.55,54.5,92.86,24.08,57.14,74.13,37.21,98.53,41.8,0,94.49,67.94,56.4,95.06,30.34,1
JPN,Japan,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,52039.17,55.86,58.19,73.11,52.27,29.55,72.73,70.45,61.36,28.41,18.18,69.7,26.14,86.93,9.09,67.42,67.61,27.16,48.3,42.84,46.15,30.77,41.03,35.16,85,89.61,96.58,77.27,31.29,89.46,92.8,74.02,97.45,83.4,87.5,62.08,91.72,84.99,94.39,73.44,0.96
KAZ,Kazakhstan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,40890.93,32.34,32.34,19.7,55.68,68.56,12.12,11.36,12.12,9.85,0,69.32,57.95,13.07,9.85,11.36,10.23,18.18,0,0,15.38,15.38,20.51,13.19,0,22.71,60.35,100,15.21,43.9,82.4,33.63,93.76,58.4,87.5,44.07,71.71,40.62,99.39,39.84,1
KEN,Kenya,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,6644.13,39.53,41.18,0,0,63.64,65.15,0,56.59,71.97,0,70.45,63.64,70.45,64.32,9.09,0,61.36,0,61.36,15.38,38.46,10.26,4.4,47.5,39.98,9.92,36.26,91.48,41.9,52,41.62,98.52,66.8,12.5,78.6,47.93,78.95,83.93,23.58,0.96
KGZ,Kyrgyz Republic,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,8012.45,51.64,53.79,73.48,80.3,68.94,80.3,72.73,72.73,68.18,0,72.35,41.48,80.11,90.91,81.82,0,74.62,0,0,23.08,46.15,30.77,30.77,40,26.45,37.45,100,88.78,30.55,70.93,36.57,63.89,41.8,87.5,82.42,66.51,44.98,78.45,43.56,0.96
KHM,Cambodia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,7966.87,24.09,24.09,18.18,50,9.09,0,9.09,10.61,0,0,37.12,48.48,19.89,0,0,0,40.15,0,0,15.38,38.46,10.26,0,78.75,8.21,28.17,70.37,35.66,27.66,50.67,16.58,33.94,50,100,67.16,65.09,29.69,74.35,0,1
KOR,South Korea,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,61051.35,47.69,49.68,9.09,36.36,0,70.45,65.45,74.55,0,9.09,71.82,70.45,72.5,63.64,72.5,61.36,9.09,61.36,9.09,15.38,23.08,20.51,4.4,0,84.06,74.35,93.55,39.89,79.98,95.47,52.28,100,83.4,37.5,77.33,78.1,87.03,100,80.78,0.96
KWT,Kuwait,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,52443.6,24.03,25.03,0,0,0,0,37.88,10.61,18.18,0,20.45,20.45,12.5,37.88,37.88,0,9.09,0,0,23.08,15.38,20.51,26.37,8.75,18.72,65.33,100,2.24,58.64,81.6,37.59,58.77,58.4,87.5,91.95,82.43,50.72,71.2,21.39,0.96
