ranking,iso3,country,region,subregion,developing,WB_region,WB_income_group,GDP_per_capita_PPP,girai,girai_raw,urai_penalty,DIMENSIONS SCORES,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,PILLAR SCORES,__EMPTY_4,__EMPTY_5
,,,,,,,,,,,,Inclusion and Diversity (0-100),Ethics and Sustainability (0-100),Labour and Skills (0-100),Trust and Safety (0-100),AI Use in Public Service (0-100),AI Policy (0-100),CSO Engagement (0-100),Enabling Conditions (0-100)
30,ROU,Romania,Europe,Central Europe,Developed,Europe & Central Asia,High income,49076.54,51.69,51.69,1,48.27,50.07,58.12,68.03,33.96,48.6,13.84,70.49
31,KGZ,Kyrgyz Republic,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,8012.45,51.64,53.79,0.96,63.24,66.61,41.97,61.53,35.62,54.75,34.15,58.43
32,SVK,Slovakia,Europe,Central Europe,Developed,Europe & Central Asia,High income,48132.36,50.25,50.25,1,51.65,52.78,49.52,69.96,27.37,42.1,17,77.65
33,SRB,Serbia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,32832.18,50.13,50.13,1,54.38,47.14,57.76,41.6,49.77,50.2,11.35,62.91
34,PER,Peru,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,17802.42,50.06,50.06,1,44.2,57.25,55.66,51.99,41.19,48.48,22.03,62.56
35,HRV,Croatia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,High income,49550.79,48.12,48.12,1,52.22,51.62,45.14,69.42,22.19,41.69,5.71,75.1
36,DOM,Dominican Republic,Caribbean,,Developing,Latin America & Caribbean ,Upper middle income,27541.66,47.92,47.92,1,51.44,40.96,48.05,47.15,51.97,48.56,14.21,57.85
37,KOR,South Korea,Asia and Oceania,East Asia,Developed,East Asia & Pacific,High income,61051.35,47.69,49.68,0.96,35.83,51.86,54.49,63.52,42.69,42.45,12.67,76.47
38,NZL,New Zealand,Asia and Oceania,Oceania (Pacific),Developed,East Asia & Pacific,High income,55551.14,46.12,46.12,1,40.78,54.73,50.12,38.82,46.16,30.45,25.05,84.48
39,NGA,Nigeria,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,9086.88,45.87,45.87,1,52.06,49.56,40.62,63.45,23.65,51.08,26.94,41.76
40,SGP,Singapore,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,High income,150689.3,45.3,45.3,1,59.06,43.53,39.23,55.18,29.51,36.91,3.3,76.08
41,CHN,China,Asia and Oceania,East Asia,Developing,East Asia & Pacific,Upper middle income,27104.87,43.88,48.76,0.9,43.97,55.13,49.23,64.16,31.29,51.46,33.27,48.51
42,HKG,China Hong Kong Special Administrative Region,Asia and Oceania,East Asia,Developing,East Asia & Pacific,High income,75195.99,42.74,42.74,1,47.67,29.28,41.66,54.75,40.34,35,14.89,67.51
43,ISR,Israel,Middle East,,Developed,"Middle East, North Africa, Afghanistan & Pakistan",High income,57235.78,42.2,46.38,0.91,46.71,45.4,45.02,44.07,50.69,36.71,63.84,59.89
44,UKR,Ukraine,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,18550.46,42.17,45.34,0.93,38.52,42.7,53.09,58.55,33.85,33.05,66.75,62.79
45,MDA,Republic of Moldova,Europe,Eastern Europe,Developed,Europe & Central Asia,Upper middle income,18614.99,42.04,42.04,1,34.9,36.83,55.73,43.55,39.19,35.17,27.98,60.46
46,EGY,Egypt,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,19094.14,41.99,41.99,1,38.12,39.54,52.1,47.99,32.2,41.18,40.42,44.14
47,VNM,Viet Nam,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,16385.51,41.65,41.65,1,33.98,30.96,52.56,41.78,48.99,34.73,38.11,56.68
48,IND,India,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,11159.99,41.1,44.2,0.93,50.77,39.6,40.55,56.77,33.3,38.8,44.98,54.73
49,JOR,Jordan,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10821.49,40.46,40.46,1,27.1,30.82,61.91,39.03,43.44,35.96,24.17,54.88
50,KEN,Kenya,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,6644.13,39.53,41.18,0.96,22.88,52.91,41.89,40.28,47.94,38.24,23.2,53.05
51,PAK,Pakistan,Asia and Oceania,South West Asia,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6252.12,38.93,40.55,0.96,22.61,32.15,38.97,61.15,47.86,42.7,20.27,43.01
52,QAT,Qatar,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,126046.35,38.88,38.88,1,35.31,40.62,40.09,50.63,27.76,36.27,4.62,55.52
53,IDN,Indonesia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,16448.28,38.83,38.83,1,39.62,34.74,50.72,43.77,25.3,31.45,24.12,58.5
54,ARE,United Arab Emirates,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,79228.74,38.67,40.28,0.96,62.82,32.48,36.15,42.82,27.12,36.12,1.76,61.44
55,MYS,Malaysia,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,38779.28,38.55,40.15,0.96,33.73,30.92,50.26,42.67,43.2,32.72,16.03,63.07
56,GHA,Ghana,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,8020,38.43,40.03,0.96,27.37,47.87,41.19,33.86,49.86,36.28,13.98,56.2
57,NPL,Nepal,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,5736.62,37.69,39.26,0.96,40.85,51.71,37.02,36.81,29.93,34.62,22.42,54.17
58,MKD,North Macedonia,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,26995.43,37.28,37.28,1,27.94,29.21,58.87,37.88,32.48,21.02,52.89,64.58
59,BEN,Benin,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,4434.56,36.95,36.95,1,21.77,44.27,46.44,35.6,36.64,35.69,17.78,45.85
60,SLV,El Salvador,South and Central America,Central America,Developing,Latin America & Caribbean ,Upper middle income,13264.03,36.66,36.66,1,29.17,59.84,30.53,36.2,27.58,33.51,4.62,53.66
61,THA,Thailand,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Upper middle income,24712.07,36.44,36.44,1,21.85,33.36,47.85,36.99,42.15,28.66,19.55,57.62
62,MAR,Morocco,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10415.12,35.62,35.62,1,27.16,29.43,46.21,52.23,23.05,29.39,22.56,52.41
63,OMN,Oman,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,41740.17,35.56,35.56,1,44.65,38.61,16.4,43.55,34.59,34.61,0.5,49.16
64,CIV,Cote d'Ivoire,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,7669.23,34.58,34.58,1,39.33,40.44,31.37,31.37,30.38,31.37,3,51.52
65,ARG,Argentina,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,30431.19,34.31,34.31,1,29.76,33.31,31.53,41.2,35.74,20.41,26.72,64.63
66,RWA,Rwanda,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,3710.86,33.56,33.56,1,12.67,33.71,44.88,30.76,45.76,28.47,6,52.92
67,SAU,Saudi Arabia,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,71375.37,33.36,34.75,0.96,22.04,39.25,41.47,48.77,22.24,29.82,1.54,55.68
68,PHL,Philippines,Asia and Oceania,South East Asia,Developing,East Asia & Pacific,Lower middle income,11794.14,32.98,32.98,1,29.41,33.74,30.69,37.39,33.65,25.46,13.76,54.41
69,GEO,Georgia,Europe,Eastern Europe,Developing,Europe & Central Asia,Upper middle income,28285.07,32.43,32.43,1,18.32,49.91,20.56,54.81,18.55,20.33,5.64,65.55
70,KAZ,Kazakhstan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,40890.93,32.34,32.34,1,48.63,17.22,44.91,29.32,21.62,23.79,12.89,55.92
71,ALB,Albania,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,26701.67,32.29,32.29,1,36.93,42.6,29.74,25.94,26.22,17.8,10.76,68.43
72,ETH,Ethiopia,Africa,East Africa,Developing,Sub-Saharan Africa ,Low income,3287.53,32.15,32.15,1,18.83,48.44,44.89,33.49,15.1,34.92,0.88,37.02
73,LKA,Sri Lanka,Asia and Oceania,South West Asia,Developing,South Asia,Lower middle income,15632.59,31.81,31.81,1,25.48,31.49,33.42,40.6,28.04,21.63,23.29,54.99
74,SEN,Senegal,Africa,West Africa,Developing,Sub-Saharan Africa ,Lower middle income,5070.65,31.09,31.09,1,15.85,19.74,43.28,31.06,45.51,25.95,6,49.73
75,AZE,Azerbaijan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Upper middle income,25089,30.59,30.59,1,32.27,17.74,46.14,23.77,33.02,23.18,13.64,51.05
76,BHR,Bahrain,Middle East,,Developing,"Middle East, North Africa, Afghanistan & Pakistan",High income,66941.24,30.49,30.49,1,17.95,39.88,32.71,39.08,22.84,25.12,0,51.4
77,ZAF,South Africa,Africa,South Africa,Developing,Sub-Saharan Africa ,Upper middle income,15456.2,29.68,29.68,1,30.44,19.99,31.88,40.13,25.94,10.81,43.73,62.72
78,LBY,Libya,Africa,North Africa,Developing,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,14303.81,29.29,29.29,1,35.59,25.47,42.96,20.29,22.14,32.06,2.93,32.53
79,ZMB,Zambia,Africa,East Africa,Developing,Sub-Saharan Africa ,Lower middle income,4214.89,29.12,29.12,1,11.46,39.63,40.25,32.45,21.79,19.91,17.32,51.46
80,GMB,Gambia,Africa,West Africa,Developing,Sub-Saharan Africa ,Low income,3475.61,28.19,28.19,1,27.07,24.61,37.75,29.64,21.87,27.42,4.1,37.75
81,MEX,Mexico,South and Central America,Central America,Developing,Latin America & Caribbean ,Upper middle income,26185.36,27.95,29.11,0.96,41.88,17.49,33.1,32.22,20.88,15.57,29.52,56.07
82,MNE,Montenegro,Europe,Balkans (South East Europe),Developed,Europe & Central Asia,Upper middle income,34062.76,27.65,28.8,0.96,26.3,27.02,34.86,28.65,27.18,9.22,27.93,68.26
83,UZB,Uzbekistan,Asia and Oceania,NorthWest Asia,Developing,Europe & Central Asia,Lower middle income,11878.55,26.82,26.82,1,26.99,17.11,37.14,25.86,26.99,20.15,6.15,47.04
84,MUS,Mauritius,Africa,East Africa,Developing,Sub-Saharan Africa ,Upper middle income,31839.76,26.29,26.29,1,19.87,27.95,35,26.59,22.06,10.45,0,66.74
85,PRY,Paraguay,South and Central America,South America,Developing,Latin America & Caribbean ,Upper middle income,18523.68,26.14,26.14,1,22.08,35.36,20.2,31.48,21.59,8.31,18.39,64.39
86,TTO,Trinidad and Tobago,Caribbean,,Developing,Latin America & Caribbean ,High income,36328.51,26.14,26.14,1,25.57,20.33,34.14,25.35,25.32,13.05,13.49,56.54
