interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,cse_counts,cse1_name,cse1_link,cse1_drive,cse1_type,cse1_contributions,cse1_justif,cse2_name,cse2_link,cse2_drive,cse2_type,cse2_contributions,cse2_justif,cse3_name,cse3_link,cse3_drive,cse3_type,cse3_contributions,cse3_justif,cse4_name,cse4_link,cse4_drive,cse4_type,cse4_contributions,cse4_justif,cse5_name,cse5_link,cse5_drive,cse5_type,cse5_contributions,cse5_justif,cse6_name,cse6_link,cse6_drive,cse6_type,cse6_contributions,cse6_justif
45-00-08-71,Burundi,BDI,Africa,East Africa,Developing,Low income,"1194,95",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-78-88-90,Burundi,BDI,Africa,East Africa,Developing,Low income,"1194,95",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-89-42-07,Burundi,BDI,Africa,East Africa,Developing,Low income,"1194,95",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,Promotion of agriculture and the food system through youth entrepreneurship and innovation for a better future.,https://web.archive.org/web/20251028123639/https://lejournal.africa/burundi-integration-de-lintelligence-artificielle-pour-stimuler-le-secteur-agricole/,,Capacity building and collaboration: training courses workshops networks.,AI Literacy;  Reskilling and upskilling initiatives,This initiative addresses reskilling/upskilling by providing young entrepreneurs with training in innovative agricultural practices SME management and modern agribusiness techniques. It fosters AI literacy by introducing AI-powered tools such as drones and sensors for crop monitoring irrigation and harvest forecasting equipping participants with practical AI skills applicable in agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-02-94-90,Burundi,BDI,Africa,East Africa,Developing,Low income,"1194,95",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-21-57-54,Cambodia,KHM,Asia and Oceania,South East Asia,Developing,Lower middle income,"7966,87",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,3,Community of Practice on Artificial Intelligence (COPAI) - Hub 12: Integrating an Inclusive Lens into AI Innovation,https://www.unescap.org/events/2025/webinar-integrating-inclusive-lens-ai-innovation,,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Fairness and Non Discrimination;  Transparency and Explainability,Organized and led in cooperation between ESCAP and the CSO Community of Practice on Artificial Intelligence Cambodia the session promotes inclusive AI education and opportunities for all groups bridging digital divides and supporting equitable participation. (2) The discussions stress transparent trustworthy AI with ethical design data privacy and representative datasets to build public trust.,Generative AI in higher education:The need to develop or revise academic integrity policies to ensure the ethical use of AI in Cambodia (Cambodia Development Center),https://www.cd-center.org/wp-content/uploads/2024/07/P124_20240702_V6IS1_EN.pdf,https://drive.google.com/file/d/19rFTDTZya4-0KjCP2uL2j16jGJRriX7i/view?usp=drive_link,Developing ethical guidelines principles or best practices.,Transparency and Explainability;  Human Oversight and Determination,The document published by the CSO Cambodia Development Center addresses these indicators through the lens of academic integrity policy development to ensure ethical and responsible AI use. Transparency and Explainability: Covered by the need for policies to include definitions of key terms associated with AI use/misuse (p.4)  ensuring students and faculty are well-informed (p.4). Human Oversight and Determination: Advocated through the need to establish an AI committee (p.4) or assign a competent member of an existing committee to check for potential AI use in academic writing (p.4).,Center for Buddhist AI Ethics,https://web.archive.org/web/20250515215810/https://camtech.edu.kh/center-for-buddhist-ai-ethics/,,Knowledge generation: research technical reports.,Fairness and Non Discrimination,The Center for Buddhist AI Ethics outlines best practices for the development and use of AI based on Buddhism. Specifically they recommend in their webinar series to be mindful of how AI systems can perpetuate bias and considering its potential consequences.,,,,,,,,,,,,,,,,,,
48-63-03-92,Cambodia,KHM,Asia and Oceania,South East Asia,Developing,Lower middle income,"7966,87",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,2,Workshop on AI for Good: AI Application for Sustainable Development,https://web.archive.org/web/20251204084157/https://www.idri.edu.kh/events/workshop-ai-for-good-ai-application/,,Capacity building and collaboration: training courses workshops networks.,Rights of Persons with Disabilities,Led by the Cambodian CSO Institute of Digital Research & Innovation (IDRI) The “AI for Good” workshop mainly promotes disability by advancing accessibility through inclusion projects like Khmer Sign Language and Braille translation systems enhancing accessibility for persons with disabilities.,Research Report: Technology-Facilitated Gender-Based Violence in Cambodia: Impact on the Civic Freedoms of Women Journalists and Human Rights Defenders (Asia Centre),https://asiacentre.org/wp-content/uploads/2025/02/Technology-facilitated-Gender-based-Violence-in-Cambodia_Impact-on-Civic-Freedoms-of-Women-Journalists-and-Human-Rights-Defenders.pdf,https://drive.google.com/file/d/1ftXJL6wdNlIRFWAcw7sl-LKZ7xcsb5vp/view,Knowledge generation: research technical reports.,Gender Equality,The report summarises highlights how digital platforms are increasingly used to target women journalists and human rights defenders. These online attacks often rooted in patriarchal structures not only violate women's rights but also undermine their civic freedoms and participation in public discourse. The report emphasizes the need for comprehensive strategies to address TFGBV including legal reforms digital literacy programs and enhanced security measures to protect women in the digital space.,,,,,,,,,,,,,,,,,,,,,,,,
53-98-95-32,Cambodia,KHM,Asia and Oceania,South East Asia,Developing,Lower middle income,"7966,87",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,Training: How to Use AI for CSO’s Work,https://web.archive.org/web/20260224064617/https://www.cid.asia/training-how-to-use-ai-for-csos-work/,As we do not possess any official report we cannot upload relevant documents onto the drive.,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives,The “raining: How to Use AI for CSO’s Work initiative by the Cambodian Institute for Democracy focuses on upskilling/reskilling CSO staff by giving them practical hands-on experience with AI tools such as ChatGPT DeepL Google Translate Canva to improve communication translation and content creation tasks. It equips participants regardless of technical background with new digital competencies and a personalised action plan to apply AI in daily work (see Learning Outcomes section).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-27-22-21,Cambodia,KHM,Asia and Oceania,South East Asia,Developing,Lower middle income,"7966,87",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87-13-19-33,Cameroon,CMR,Africa,Central Africa,Developing,Lower middle income,"5588,99",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-77-70-53,Cameroon,CMR,Africa,Central Africa,Developing,Lower middle income,"5588,99",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-70-61-65,Cameroon,CMR,Africa,Central Africa,Developing,Lower middle income,"5588,99",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,Training Young Entrepreneurs in Artificial Intelligence by SNK Foundation,https://web.archive.org/save/https://mimimefoinfos.com/snk-foundation-equips-buea-youths-with-ai-skills-to-boost-businesses/,,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives,The SNK AI Challenge 2025 initiative trains youth from Buea and other cities in practical AI skills that can boost their businesses and career opportunities. Specifically the program offers a three-day intensive workshop on AI fundamentals and applications enabling participants to apply AI to creative tasks and business processes thereby addressing the area of reskilling/upskilling for AI use in real economic contexts. This directly supports enhancing digital competence and employability among young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-54-21-79,Cameroon,CMR,Africa,Central Africa,Developing,Lower middle income,"5588,99",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-60-91-39,Canada,CAN,Northern America,,Developed,High income,"64610,38",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,2,Global AI Alliance for Climate Action,https://web.archive.org/web/20250906010759/https://vectorinstitute.ai/new-global-climate-action-initiative-harnesses-canadas-ai-expertise/,https://drive.google.com/file/d/1kT5M3b5AY_v_kFzp9W_kUV6jxnNb5pQ6/view?usp=sharing,Capacity building and collaboration: training courses workshops networks.,Environmental Impact,This is a partnership between the Vector Institute and the Turkish Informatics Foundation. The Vector Institute engages in AI research talent building as well as collaboration with industry and partnerships to advance AI-based research in Canada while the Turkish Informatics Foundation advances and explores informatics and ICTs in society the economy and public institutions. Vector will lend its AI research community to the Turkish Informatics Foundation's Be Node platform in order to explore the possibility of using AI to address climate change issues.,The Montreal AI Ethics Institute (MAIEI) Joins the AI Alliance,https://web.archive.org/web/20260409091906/https://montrealethics.ai/the-montreal-ai-ethics-institute-maiei-joins-the-ai-alliance/,,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Transparency and Explainability;  Human Oversight and Determination,The Montreal AI Ethics Institute (MAIEI) co-hosted an event at the AI Alliance launch in Toronto (June 2024) promoting responsible AI adoption safety transparency and accountability in AI development. As an independent non-profit MAIEI contributed to civil society engagement in AI ethics by fostering multi-stakeholder dialogue on transparent and accountable AI practices. The event emphasized the importance of human oversight and transparency as foundational principles for responsible AI contributing to public awareness and cross-sector collaboration on AI governance in Canada.,,,,,,,,,,,,,,,,,,,,,,,,
51-83-55-32,Canada,CAN,Northern America,,Developed,High income,"64610,38",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,4,Submission to The Standing Committee on Industry and Technology on Bill C-27 An Act to enact the Consumer Privacy Protection Act the Personal Information and Data Protection Tribunal Act and the Artificial Intelligence and Data Act and to make consequential and related amendments to other Acts,https://web.archive.org/web/20250825191148/https://www.ourcommons.ca/Content/Committee/441/INDU/Brief/BR12793483/br-external/Jointly8-e.pdf,https://drive.google.com/file/d/1j-GWwekur8ocyrR2gdWJymprLxG4n0-U/view?usp=drive_link,Developing ethical guidelines principles or best practices.,Gender Equality;  Rights of Persons with Disabilities;  Children’s Rights;  Cultural and Linguistic Diversity,The submission to a public consultation urges recognizing privacy as a fundamental human right and embedding intersectionality throughout Bill C-27 Canada's previous proposed law that would have overhauled federal private-sector privacy law and that would have enacted law to govern private sector AI (p. 3). The submission calls for stronger oversight (p. 14) broader harm definitions (p. 16) and inclusive consultation with affected groups before passing the law on AI (p. 4 11 11-13). It links to disability children’s gender and cultural-linguistic rights by demanding laws that protect those most at risk of digital harms through inclusive equitable AI and privacy governance with a focus on groups with intersecting identities (p. 13).,Women in AI Canada,https://www.womeninai.co/canada,,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Gender Equality,Women in AI Canada launched since September 2020 has expanded across 7 major cities building a strong team of volunteers who believe in the mission of Women in AI. WAI Canada successfully operates global WaiINSPIRE programs like WaiEducate WaiResearch WaiAwards NA WaiConnect WaiTALK and  WaiTIME  to promote equal opportunities for women in early-age AI education innovation and research industry careers and entrepreneurship.? They believe in nurturing mentoring and celebrating women  to create next generation of leaders in AI.,Youth Perspectives on theUse of Artificial Intelligencein Paediatric Healthcare - A consultative report writtenby MediaSmarts,https://mediasmarts.ca/research-and-evaluation/research-reports/youth-perspectives-use-artificial-intelligence-paediatric-healthcare,https://drive.google.com/file/d/1Z25ORqM4E9oNR3q9wuN_YLxP4GAl9Jl0/view?usp=drive_link,Capacity building and collaboration: training courses workshops networks.,Children’s Rights,MediaSmarts is Canada’s not-for-profit centre fordigital media literacy. Although their research report is from 2026 it  notes 'Drawing on insights from youth aged 10–17 in a mixed-methods study (2021–2024) led by Dr. Melissa McCradden — including 28 interviews a youth workshop and a survey of more than 300 young people — the report and guide offer recommendations to support the responsible integration of AI in paediatric care while respecting children's digital rights.' Thus the knowledge generation took place beforehand.,Responsible AI and Children: Inisghts Implications and Best Practices,https://web.archive.org/web/20250811105931/https://cifar.ca/cifarnews/2024/04/24/beyond-privacy-its-time-for-a-rights-based-approach-to-regulating-ai-for-children/,https://drive.google.com/file/d/18ihwAR-KCdDCpXORFJH6dYzN1wWZqPdp/view?usp=drive_link,Knowledge generation: research technical reports.,Children’s Rights,This report explores the challenges and benefits of AI for children. It was drafted by a group of academics for CIFAR (Canadian Institute for Advanced Research) a Canadian-based international research organization. The report uses a systematic review of design research applying child-centric methods and a review of existing Canadian policy. The authors recommend a child-centric and rights-based framework regarding responsible AI and children.,,,,,,,,,,,,
62-17-55-48,Canada,CAN,Northern America,,Developed,High income,"64610,38",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,3,Canadian Union of Public Employees: Submission to Innovation Science and Economic Development Canada for the consultation on the renewed Canadian AI strategy,https://web.archive.org/web/20251223090954/https://cupe.ca/cupe-criticizes-federal-ai-consultation-process,https://drive.google.com/file/d/1srF9S30rFaVwqAJNltVHL3ZGkVt37ZUh/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Labour Protections,CUPE's AI strategy submission demands worker-centred governance and regulations protecting against job loss algorithmic management and surveillance. The union advocates for public AI infrastructure over corporate subsidies mandatory workplace transparency and stronger employment insurance for displaced workers. CUPE criticizes the industry-heavy consultation process noting marginalized workers face disproportionate harms. Key recommendations: establish sectoral tables with unions and researchers invest in digital literacy training prohibit biometric surveillance require employer notification before using AI and enforce environmental standards. CUPE emphasizes workers need consultation rights and laws preventing discrimination.,Canada's First Responsible AI Literacy Initiative for Environmental Nonprofits,https://web.archive.org/web/20250716214501/https://skills4good.ai/resources/canadas-first-responsible-ai-literacy-initiative-for-environmental-nonprofits,https://drive.google.com/file/d/1JO2fRHoGFVXsDRD9Cw5K_LYmDCEb824-/view?usp=drive_link,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives;  AI Literacy,Sustainability Network and Skills4Good AI launched Canada's first sector-specific Responsible AI Literacy Initiative for environmental nonprofits. The program empowers environmental leaders to use AI ethically as a force multiplier for climate action biodiversity protection and community engagement. It includes a free '7 Lessons in 7 Days' starter course (launching July 16 2025) and 15 sponsored Fast Track Memberships ($547 value) offering 3-month training with certification pathways. The initiative addresses the gap between corporate AI adoption and nonprofit capacity ensuring environmental organizations can leverage AI for grant applications data analysis advocacy campaigns while maintaining responsible practices.,OPEN LETTER to the Minister of Artificial Intelligence and Digital Innovation from civil society organizations and individuals opposing “National Sprint” consultation on AI strategy,https://web.archive.org/web/20251127211035/https://bccla.org/policy-submission/open-letter-to-the-minister-of-artificial-intelligence-and-digital-innovation-from-civil-society-organizations-and-individuals-opposing-national-sprint-consultation-on-ai-strategy/,https://drive.google.com/file/d/1wuxKWbxcKcz6uKr5X1U3R03HsSriTuE0/view?usp=drive_link,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,AI Literacy;  Labour Protections,The open letter mentions labour impacts extensively documenting how AI exacerbates workplace inequality through exploitation of underpaid ghost workers algorithmic management systems that violate privacy and health rights discriminatory hiring tools invasive surveillance ('bossware') and wage theft via algorithmic discrimination. It criticizes automated welfare systems that harm vulnerable populations. While the letter doesn't specifically address 'AI literacy' it notes that students relying on LLMs show declining critical thinking skills. The letter emphasizes that workers bear AI's harms while industry dominates policy discussions arguing marginalized communities most affected by AI lack representation in government consultations.,,,,,,,,,,,,,,,,,,
66-24-02-72,Canada,CAN,Northern America,,Developed,High income,"64610,38",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,2,Gendered Disinformation: New Resources Launched to Address This Urgent Threat,https://actua.ca/news-views/gendered-disinformation-resources,,Developing ethical guidelines principles or best practices.,AI-Facilitated Misinformation and Violence,The Community Safety Knowledge Alliance (CSKA) is a non-profit applied research organization. Their initiative contributes to public policy processes in the role of an independent observer by generating research-based insights and documenting emerging risks associated with AI-facilitated misinformation and violence. Through its analytical work on gendered disinformation and its societal impacts they aim to provide evidence that can inform policymakers oversight bodies and advisory councils without being embedded within government structures.,CIFAR - RESPONSIBLE AI AND CHILDREN: INSIGHTS IMPLICATIONS AND BEST PRACTICES,https://cifar.ca/wp-content/uploads/2024/04/CIFAR-Responsible-AI-and-Children-EN_Final.pdf,https://drive.google.com/file/d/18ihwAR-KCdDCpXORFJH6dYzN1wWZqPdp/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Data Protection and Privacy,The report by CIFAR which is a Canadian-based global research organization (operating as a registered charitable organization) see https://www.unesco.org/ethics-ai/zh/civil-society-organizations/canadian-institute-advanced-research-cifar outlines best practices for AI specifically in regard to children advocating the need to protect their personal data and privacy (p. 12).,,,,,,,,,,,,,,,,,,,,,,,,
02-41-79-91,Central African Republic,CAF,Africa,Central Africa,Developing,Low income,"1263,10",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,1,EXPLORING THE ROLE OF AFRICAN CIVIL SOCIETY IN DECISION-MAKING ABOUT ARTIFICIAL INTELLIGENCE. RISKS OPPORTUNITIES AND GOVERNANCE GAPS. THE ROLE OF REPONGAC IN AI GOVERNANCE IN CENTRAL AFRICA,https://web.archive.org/save/https://www.repongac.com/actu/explorer-le-role-de-la-societe-civile-africaine-dans-la-prise-de-decision-en-matiere-d-intelligence-artificielle-risques-opportunites-et-lacunes-de-gouvernance-le-role-du-repongac-dans-la-gouvernance-de-lia-en-afrique-centrale,After careful study it appears that the CAR's national strategy for artificial intelligence remains to be defined. The government is focusing solely on capacity building through a few international partnerships.,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Fairness and Non Discrimination;  Human Oversight and Determination,Repongac is concerned about the well-being of the region's citizens and is aware of the harmful effects AI can have on our societies. In addition to fighting for African civil society to play a role in decision-making for an inclusive equitable and responsible AI Repongac has several levers to strengthen its local capacity playing a key role in raising awareness among the population and creating a safer digital environment. It collaborates with schools universities local businesses and other civil society organisations to organise joint events share resources and create awareness campaigns produce and disseminate of educational contents volunteers to raise public awareness provide advice on AI and report incidents to authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57-39-46-05,Central African Republic,CAF,Africa,Central Africa,Developing,Low income,"1263,10",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,EXPLORING THE ROLE OF AFRICAN CIVIL SOCIETY IN DECISION-MAKING ON ARTIFICIAL INTELLIGENCE   RISKS OPPORTUNITIES AND GOVERNANCE GAPS THE ROLE OF REPONGAC IN AI GOVERNANCE IN CENTRAL AFRICA,https://web.archive.org/save/https://www.repongac.com/actu/explorer-le-role-de-la-societe-civile-africaine-dans-la-prise-de-decision-en-matiere-d-intelligence-artificielle-risques-opportunites-et-lacunes-de-gouvernance-le-role-du-repongac-dans-la-gouvernance-de-lia-en-afrique-centrale,,Knowledge generation: research technical reports.,Gender Equality;  Cultural and Linguistic Diversity,The article by REPONGAC examines risks that AI systems may reproduce or amplify existing discrimination particularly against women and marginalized groups. In the section “Risks related to AI in Central Africa” it highlights how algorithmic bias and unequal access to digital infrastructure can deepen gender inequalities and exclude ethnic minorities and rural populations from AI benefits. The document also stresses that limited access to technology and participation in AI governance may further marginalize women and other vulnerable groups advocating for more inclusive and equitable AI development.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-94-62-80,Central African Republic,CAF,Africa,Central Africa,Developing,Low income,"1263,10",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,EXPLORING THE ROLE OF AFRICAN CIVIL SOCIETY IN DECISION-MAKING ON ARTIFICIAL INTELLIGENCE   RISKS OPPORTUNITIES AND GOVERNANCE GAPS THE ROLE OF REPONGAC IN AI GOVERNANCE IN CENTRAL AFRICA,https://www.repongac.com/actu/explorer-le-role-de-la-societe-civile-africaine-dans-la-prise-de-decision-en-matiere-d-intelligence-artificielle-risques-opportunites-et-lacunes-de-gouvernance-le-role-du-repongac-dans-la-gouvernance-de-lia-en-afrique-centrale,There is no document uploaded but a link that leads to the work repongac is doing in Central Africa region and in CAR in particular.,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,AI Literacy,Repongac has several levers to enable participation in decision-making on AI governance.- Capacity building- Promoting international cooperation - Creating coalitions - Collaborating with other actors - Conducting research - Promoting transparency and accountability- Public awareness and advocacy. They advocate for the integration of specialised educational programmes on emerging technologies in schools in partnership with local and international universities to prepare future generations and train experts in data science machine learning and AI ethics and successfully integrate this AI-dominated world. Encourage the creation of AI Centres of Excellence and Innovation for the development of solutions adapted to local contexts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-49-70,Central African Republic,CAF,Africa,Central Africa,Developing,Low income,"1263,10",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-40-74-72,Chad,TCD,Africa,Central Africa,Developing,Low income,"2742,66",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-15-28-54,Chad,TCD,Africa,Central Africa,Developing,Low income,"2742,66",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92-73-88-65,Chad,TCD,Africa,Central Africa,Developing,Low income,"2742,66",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-11-89-36,Chad,TCD,Africa,Central Africa,Developing,Low income,"2742,66",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-14-31-15,Chile,CHL,South and Central America,South America,Developing,High income,"36181,16",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,2,Legal Challenge to Google’s Cerrillos Data Center Environmental Approval,https://web.archive.org/web/20250223114043/https://media-front.elmostrador.cl/2024/02/2024.02.26_Sentencia_R-271-2020_Acum._R_N%C2%B0_270-2020.pdf,https://drive.google.com/file/d/16ZTs2pjErV8ZN6HbLijYFyjD2qu8VUPY/view?usp=drive_link,Litigation or legal action.,Environmental Impact,This court ruling concerns a legal challenge to the environmental approval of Google’s Cerrillos Data Centre (~US$200M) initiated by a citizen group (MOSACAT) and the Municipality of Cerrillos (See https://web.archive.org/web/20260213210307/https://restofworld.org/2024/data-centers-environmental-issues/) and later continued by an individual claimant. The case questioned whether the environmental assessment adequately addressed water use air quality sustainability and the need for a full Environmental Impact Study. The ruling led Google to abandon the water-intensive design and relaunch the project with air-cooling significantly reducing its environmental impact.,TRAMAS - Geopolitics of the end of the world: rare earths in Penco Chile,https://web.archive.org/web/20260213213618/https://tramas.digital/en/cases/penco/,https://drive.google.com/file/d/1Lt3ADcopvUpmveFFTnat5gl3Zne1W3xn/view?usp=drive_link,Knowledge generation: research technical reports.,Environmental Impact,The TRAMAS case study on Penco in central Chile conducted by the Non-profit Instituto Latinoamericano de Terraformación addresses AI’s environmental impact by examining extractive industries linked to digital and AI technologies. The “Mineral” section explains how rare earth elements are key inputs for semiconductors and digital infrastructure that enable AI while outlining environmental risks such as impacts on water ecosystems and local communities. These issues are further framed in sections on territory environmental conflict and community resistance in Penco which situate mineral extraction within global supply chains driven by data centres and AI-intensive industries.,,,,,,,,,,,,,,,,,,,,,,,,
00-84-81-88,Chile,CHL,South and Central America,South America,Developing,High income,"36181,16",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,3,Datos Protegidos collaboration in capacity building,https://web.archive.org/web/20260213162437/https://regulacionconvergente.com/english/2025/04/03/academica-patricia-pena-expone-sobre-inteligencia-artificial-y-derechos-humanos-feminismo-y-educacion/,https://drive.google.com/file/d/110NhR6L9SZx8AtYmiNGvXjAKFy8bB_sN/view?usp=drive_link,Public engagement & awareness: conferences public awareness events/campaigns public consultations.,Gender Equality,On behalf of Datos Protegidos Foundation and the Transdisciplinary Digital Convergence Regulation Nucleus Patricia Peña collaborated in three multi-stakeholder events on AI gender equality and human rights. Her work exemplifies collaborative capacity building: presenting the feminist chatbot Sof+IA—developed by Datos Protegidos and the Observatory of Gender Statistics and Diversity (ODEGI)—at the 'Back to School with Artificial Intelligence' teacher training initiative while her roles at the IACHR hearing (representing the Feminist AI Research Network) and Khipu 2025 demonstrate sustained collaboration to advance gender justice in AI governance.,NGO Amaranta's Fanzine on AI,https://web.archive.org/web/20251223215623/https://amaranta.ong/2025/08/05/fanzine-la-inteligencia-artificial-no-es-tan-artificial-ni-tan-inteligente/,https://drive.google.com/file/d/1hp83R_5wpwm9ONFbCLfDigRVnhh3cn87/view?usp=drive_link,Other,Gender Equality,The initiative involved the publication of the fanzine “La inteligencia artificial no es tan artificial ni tan inteligente” by NGO Amaranta a Chilean organisation focused on addressing online gender-based violence digital rights and feminist education. The fanzine strengthens AI literacy by offering accessible explanations of how AI systems work and emphasising that they are human-made technologies that can reproduce social and gender biases. It explicitly links AI and gender-based violence showing how AI systems and digital platforms can reinforce discrimination harassment sexism ableism and unequal power relations in online environments.,CENIA´s LatamGPT and other language models,https://web.archive.org/web/20251205035051/https://www.latamgpt.org/en,https://drive.google.com/file/d/1syyNTX6tbsCLYs9kLZsSxrr__Dam86iu/view?usp=drive_link,Capacity building and collaboration: training courses workshops networks.,Cultural and Linguistic Diversity,LatamGPT is a regional initiative led by the State funded CENIA in Chile that advances cultural and linguistic diversity in AI by developing a language model grounded in Latin America’s voices including Indigenous and local vernacular languages. Complementing this effort CENIA also leads the Rapa Nui Translator (https://www.traductorrapanui.cl/) created with the Academia de la Lengua Rapa Nui and UC which supports the preservation of the endangered Rapa Nui language through community-based AI tools. By countering the dominance of English-centric AI systems and fostering more inclusive and representative datasets and models LatamGPT contributes directly to the indicator on Cultural and Linguistic Diversity.,,,,,,,,,,,,,,,,,,
55-61-06-37,Chile,CHL,South and Central America,South America,Developing,High income,"36181,16",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,FIEL Foundation Workshop on AI and the World of Work,https://web.archive.org/web/20260226144657/https://cut.cl/web/taller-ia-fiel/,https://drive.google.com/file/d/1E9fUQL0XJUHSA0r7Vo_oEf1xeRhrUGK6/view,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives;  Labour Protections;  AI Literacy,A workshop organised by Fundación Instituto de Estudios Laborales (FIEL) a non-profit created in 2005 by Chile’s main national trade union confederation the Central Unitaria de Trabajadores y Trabajadoras de Chile (CUT). It addressed labour protections through union-led adaptation to AI aiming to safeguard workers’ dignity and safety during digital transformation. It combines reskilling and upskilling efforts including analysis by CENIA on the impact of automation on occupations with a practical workshop on generative AI tools. AI literacy is further promoted through training union leaders on the challenges and opportunities of AI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-20-67-19,Chile,CHL,South and Central America,South America,Developing,High income,"36181,16",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,1,Advisory Committee against Disinformation,https://web.archive.org/web/20251205030653/https://www.minciencia.gob.cl/areas/comision-contra-la-desinformacion/,https://drive.google.com/file/d/1TQdQBFUrgaVKfc0iUI7a_h_6JHEJ1BlG/view?usp=drive_link,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,AI-Facilitated Misinformation and Violence;  Safety and Security;  Data Protection and Privacy,The initiative developed with three civil society NGOs (Derechos Digitales Fundación Multitudes and Fundación Datos Protegidos) directly tackles AI-Facilitated Misinformation and Violence by recommending research and policies to counter threats like deepfakes particularly gendered disinformation (pp. 34-35). It addresses Data Protection and Privacy by urgently advocating for updated legislation and a supervisory agency to prevent the data exploitation that fuels disinformation campaigns (pp. 32). Furthermore it contributes to Safety and Security by proposing measures to protect critical infrastructure and coordinate institutional responses to disinformation threats during elections and public crises (example in p. 37).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
