interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,cse_counts,cse1_name,cse1_link,cse1_drive,cse1_type,cse1_contributions,cse1_justif,cse2_name,cse2_link,cse2_drive,cse2_type,cse2_contributions,cse2_justif,cse3_name,cse3_link,cse3_drive,cse3_type,cse3_contributions,cse3_justif,cse4_name,cse4_link,cse4_drive,cse4_type,cse4_contributions,cse4_justif,cse5_name,cse5_link,cse5_drive,cse5_type,cse5_contributions,cse5_justif,cse6_name,cse6_link,cse6_drive,cse6_type,cse6_contributions,cse6_justif
50-44-06-00,Angola,AGO,Africa,South Africa,Developing,Lower middle income,"10118,61",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,Inclusion of Women in the Technological Sector in Angola,https://web.archive.org/web/20251007062656/https://www.marcaflex.com/pt/news/inclusao-de-mulheres-no-sector-tecnologico-em-angola-2885,,Capacity building and collaboration: training courses workshops networks.,Gender Equality,A collaboration between TIS and CFTIA focuses on developing training programmes technical courses mentorships and career opportunities for women in programming networking cybersecurity artificial intelligence and digital entrepreneurship. The partnership includes workshops bootcamps and tech fairs for young female talents across Angola aiming to strengthen women’s skills promote innovation and foster a more inclusive and competitive technological ecosystem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-59-34-68,Angola,AGO,Africa,South Africa,Developing,Lower middle income,"10118,61",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,Machine Learning Bootcamp Angola – Frontier Tech Leaders,https://web.archive.org/web/20251113051934/https://pti.ao/pnud-abre-inscricoes-para-bootcamp-de-machine-learning-em-angola/,,Capacity building and collaboration: training courses workshops networks.,Reskilling and upskilling initiatives,The Bootcamp de Machine Learning Angola – Frontier Tech Leaders organized by UNDP Angola in partnership with the UN Technology Bank for Least Developed Countries and the UNDP Istanbul International Center for Private Sector in Development (ICPSD) mainly contributes to Reskilling/Upskilling Initiatives. The three-month program provides practical project-based training in AI Machine Learning and Deep Learning enhancing technical competencies and innovation capacity aligned with the SDGs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-76-27-44,Angola,AGO,Africa,South Africa,Developing,Lower middle income,"10118,61",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-85-52-05,Antigua and Barbuda,ATG,Caribbean,,Developing,High income,"33386,19",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-99-16-49,Antigua and Barbuda,ATG,Caribbean,,Developing,High income,"33386,19",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-97-31-86,Antigua and Barbuda,ATG,Caribbean,,Developing,High income,"33386,19",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-91-24-73,Antigua and Barbuda,ATG,Caribbean,,Developing,High income,"33386,19",Trust and Safety,CSO Engagement,Civil Society Engagement in Trust and Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-62-98-89,Argentina,ARG,South and Central America,South America,Developing,Upper middle income,"30431,19",Ethics and Sustainability,CSO Engagement,Civil Society Engagement in Ethics and Sustainability,2,Deputies: Vía Libre participated in the meeting to analyze Artificial Intelligence regulations,https://web.archive.org/web/20260109180500/https://www.vialibre.org.ar/diputados-via-libre-participo-de-la-reunion-para-analizar-regulaciones-de-inteligencia-artificial/,https://drive.google.com/file/d/13f5j5tRc0qvQZboDWhqit6_e5IV912DU/view?usp=sharing,Developing ethical guidelines principles or best practices.,Transparency and Explainability;  Human Oversight and Determination;  Environmental Impact,The presentation by Fundación Vía Libre before the Chamber of Deputies highlights that AI development must not cross certain normative and institutional limits implicitly reinforcing the need for human oversight in decision-making. It identifies explicability as a core ethical pillar of future AI regulation (08:35) arguing that systems must remain understandable to allow effective human control and accountability. It also raises concerns about the economic costs of deploying and maintaining AI systems (12:05) framing sustainability and resource constraints as relevant considerations for public-sector AI governance.,Guide for the use of AI in the public sector in Argentina,https://web.archive.org/save/https://www.cippec.org/wp-content/uploads/2025/05/Guia-para-el-uso-de-IA-en-el-sector-publico-en-Argentina_2025.pdf,https://drive.google.com/file/d/1Duy86zDnDZZ9WqXYYJzHPJyO5O49cpWM/view?usp=sharing,Participation in public policy formulation implementation M&E: as part of advisory councils partnerships with state independent observers participating in parliamentary hearings.,Fairness and Non Discrimination;  Transparency and Explainability;  Human Oversight and Determination,The guide addresses fairness transparency and human oversight across several sections. It explicitly warns that biased data and opaque systems can reinforce existing inequalities particularly in high-inequality contexts and calls for ethical criteria and impact assessments to prevent discrimination (pages 8–9). Transparency and explainability are addressed through recommendations on algorithmic transparency traceability and citizen information stressing that AI decisions must be understandable and auditable (page 11). Human oversight is emphasised through repeated references to human-in-the-loop systems and the need to avoid uncritical automation (pages 4 and 9).,,,,,,,,,,,,,,,,,,,,,,,,
79-82-38-26,Argentina,ARG,South and Central America,South America,Developing,Upper middle income,"30431,19",Inclusion and Diversity,CSO Engagement,Civil Society Engagement in Inclusion and Diversity,1,ARTIFICIAL INTELLIGENCE AND DISABILITY: LIGHTS AND SHADOWS.DOUBTS AND OPPORTUNITIES,https://web.archive.org/save/https://inventiva.ar/conocimientos/inteligencia-artificial-y-discapacidad-luces-y-sombras-dudas-y-oportunidades/,https://drive.google.com/file/d/18YhugEf3Je4e5QiId_cGoL07rDfaXGyJ/view?usp=sharing,Knowledge generation: research technical reports.,Rights of Persons with Disabilities,The article addresses the rights of persons with disabilities by analysing how AI can both create opportunities for inclusion and reinforce existing barriers. It highlights the ethical and social implications of using AI in accessibility rehabilitation and communication while warning against bias and discrimination embedded in algorithmic systems. The piece promotes a rights-based and participatory approach to AI design urging that technologies be developed with and not merely for people with disabilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76-54-12-55,Argentina,ARG,South and Central America,South America,Developing,Upper middle income,"30431,19",Labour and Skills,CSO Engagement,Civil Society Engagement in Labour and Skills,1,AI for the public sector,https://academiainnovacionpolitica.org/enrol/index.php?id=98,https://drive.google.com/file/d/1VO5sws_pPILNFFqjq2KUsZ56fSd7kcWu/view,Capacity building and collaboration: training courses workshops networks.,AI Literacy,The initiative addresses AI Literacy by providing public-sector workers with structured training on artificial intelligence including ethical legal and governance aspects (p. 2) and practical AI techniques and applications (p. 3). It builds competencies for using AI responsibly in public administration improving decision-making and service delivery. Through its 25-hour curriculum it strengthens workers’ digital skills provides a general presentation of AI and prepares them for evolving technological demands in government roles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
