interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,gmc_status,gmc_title,gmc_link,gmc_drive,gmc_type,gmc_approval,gmc_enforceability,gmc_reach,gmc_defence_and_security,gmc_defence_and_security_justif,gmc_body,gmc_body_name,gmc_plan,gmc_budget,gmc_monitoring,gmc_element1,gmc_element2,gmc_element3,gmc_consultation,gmc_consult_counts,gmc_consult1_name,gmc_consult1_link,gmc_consult1_drive,gmc_consult1_type,gmc_consult1_justif,gmc_consult2_name,gmc_consult2_link,gmc_consult2_drive,gmc_consult2_type,gmc_consult2_justif,gmc_consult3_name,gmc_consult3_link,gmc_consult3_drive,gmc_consult3_type,gmc_consult3_justif,gmc_particip_provis_counts,gmc_particip_provis1_type,gmc_particip_provis1_justif,gmc_particip_provis2_type,gmc_particip_provis2_justif,gmc_particip_provis3_type,gmc_particip_provis3_justif,gmc_particip_provis4_type,gmc_particip_provis4_justif,gmc_particip_mech_counts,gmc_particip_mech1_name,gmc_particip_mech1_link,gmc_particip_mech1_drive,gmc_particip_mech1_type,gmc_particip_mech1_justif,gmc_particip_mech2_name,gmc_particip_mech2_link,gmc_particip_mech2_drive,gmc_particip_mech2_type,gmc_particip_mech2_justif,gmc_particip_mech3_name,gmc_particip_mech3_link,gmc_particip_mech3_drive,gmc_particip_mech3_type,gmc_particip_mech3_justif,gmc_particip_mech4_name,gmc_particip_mech4_link,gmc_particip_mech4_drive,gmc_particip_mech4_type,gmc_particip_mech4_justif
78-40-84-01,Belarus,BLR,Europe,Eastern Europe,Developed,Upper middle income,"33010,33",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
12-31-23-21,Belgium,BEL,Europe,Western Europe,Developed,High income,"73514,48",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,AI Stakeholders in Belgium: Steering Commitee for the National Convergence Plan for the Development of Artificial Intelligence (Belgium),https://web.archive.org/web/20260207164444/https://bosa.belgium.be/en/themes/digital-administration/digital-strategy-and-policy/national-convergence-plan-development,https://drive.google.com/file/d/1MfyCuYStNFbdIxwB7Xurv4KPpVXYXltS/view?usp=drive_link,Strategy,2022-10-28,Non-Binding,Both actors,No it isn’t,,Yes,Joint Steering Committee,Yes,No,Yes,No,No,No,Yes,1,Operational Federal Data and AI Ethics Advisory Committee,https://web.archive.org/web/20260212214952/https://bosa.belgium.be/fr/AI4Belgium/acteurs#anchor-2,https://drive.google.com/file/d/1EEA6NCT6ALcH1BN9CHEf__ZVW8MSs85o/view?usp=sharing,Participation in multi-stakeholder working groups or advisory committees,CSOs appear to have been involved in the broader ecosystem surrounding the development of the Plan national de convergence pour le développement de l’intelligence artificielle. The list of actors includes civil society–relevant bodies such as the Conseil national du travail which represents social partners and issues opinions to government and Parliament as well as think tanks and knowledge centres like The Data Tank and The Knowledge Centre Data & Society which engage with civil society and public interest issues. Given their inclusion among the actors contributing to the AI ecosystem and governance structure CSO-type actors were involved in the policy development process. See question 49.,,,,,,,,,,,2,Multi-stakeholder advisory council including CSOs,The AI4Belgium coalition is explicitly included in the policy's governance structure for ongoing input and monitoring. The coalition is the primary multi-stakeholder body (p. 35-36 framework: National Plan).,AI observatory or ethics committee with CSO representation,The Federal Data and AI Ethics Advisory Committee was established. The Plan also refers to the establishment of an AI Observatory to track implementation which is another type of monitoring mechanism that civil society can engage with (p. 35-36 framework: National Plan). Its composition explicitly includes two representatives of the National Labour Council which represents social partners (trade unions and employer organisations).,,,,,1,Steering Committee,https://web.archive.org/web/20260207164444/https://bosa.belgium.be/en/themes/digital-administration/digital-strategy-and-policy/national-convergence-plan-development,https://drive.google.com/file/d/1MfyCuYStNFbdIxwB7Xurv4KPpVXYXltS/view?usp=drive_link,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,To guide the implementation of this national plan a joint Steering Committee was created between FPS BOSA and FPS Economy composed of 12 members 6 French-speaking and 6 Dutch-speaking (p. 37). The Steering Committee will function as a single point of contact at the federal level for AI-related issues. If deemed necessary the Steering Committee may create a subgroup with a mixed composition (members of the political committee and external members). This information is in the main framework p.35-36.,,,,,,,,,,,,,,,
17-78-33-77,Belize,BLZ,Caribbean,,Developing,Upper middle income,"14346,52",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
63-82-83-75,Benin,BEN,Africa,West Africa,Developing,Lower middle income,"4434,56",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Strategy for Artificial Intelligence and Big Data 2023-2027,https://web.archive.org/web/20260202001309/https://numerique.gouv.bj/assets/documents/national-artificial-intelligence-and-big-data-strategy-1682673348.pdf,https://drive.google.com/file/d/13nZL0ok7ueGxLKO__m7ulifyoxsxFo6A/view?usp=share_link,Strategy,2023-01-18,Non-Binding,Both actors,No it isn’t,,Yes,Ministry of Digital Affairs and Digitalisation (lead coordinating body) supported by the Steering Committee Technical Committee and Program Support Units as set out under the Implementation Mechanism (Chapter 4.1 pp.42–43),Yes,Yes,Yes,Partially,No,No,Yes,1,Process of Developing National Strategy for Artificial Intelligence and Big Data (2023–2027),https://web.archive.org/web/20260207202955/https://numerique.gouv.bj/publications/documents/strategie-nationale-d-intelligence-artificielle-et-des-megadonnees-2023-2027,,Participation in multi-stakeholder working groups or advisory committees,The Strategy states that it was developed by the Ministry of Digital Affairs and Digitalization using a “stakeholder-integrated approach” (Introduction p. 2). Within its Theory of Change it explicitly identifies “Civil Society Leaders” among the actors bearing governance and accountability responsibilities (p. 13). More specifically the development process of Benin’s National Artificial Intelligence and Big Data Strategy (SNIAM) is described as integrating stakeholders through a holistic approach centered on technological solutions tailored to the country’s specific needs. This is still continuing over the monitoring stage of the strategy.,,,,,,,,,,,1,Multi-stakeholder advisory council including CSOs,The policy does not establish a formal “advisory council” “AI observatory/ethics committee” or audit/impact body with explicit CSO seats. Instead it foresees multi-stakeholder participation through the implementation mechanism: the coordinating body involves “all stakeholders” (Implementation Mechanism p.42) and “ecosystem stakeholders” are “involved in the implementation of the actions” and “express their needs and give their opinions” (Responsibilities of Actors p.43),,,,,,,0,,,,,,,,,,,,,,,,,,,,
83-09-51-85,Bhutan,BTN,Asia and Oceania,South West Asia,Developing,Lower middle income,"16215,15",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
16-52-07-51,Bolivia (Plurinational State of),BOL,South and Central America,South America,Developing,Lower middle income,"12877,64",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
32-47-84-92,Botswana,BWA,Africa,South Africa,Developing,Upper middle income,"20538,13",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
05-66-65-17,Brazil,BRA,South and Central America,South America,Developing,Upper middle income,"22338,48",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,AI for the Good of All - Brazilian Artificial Intelligence Plan,https://web.archive.org/web/20251010222428/https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/cct/legislacao/arquivos/IA_para_o_Bem_de_Todos.pdf,https://drive.google.com/file/d/18BPQuUEtfqa97tjvsU_HD7dhITqFHMHC/view?usp=sharing,Strategy,2024-07-09,Non-Binding,Both actors,No it isn’t,,Yes,Interministerial Committee for Digital Transformation,Yes,Yes,Yes,Partially,Partially,No,Yes,2,Minutes of the Ordinary Meeting of the National Council for Science and Technology - Proposal for the Brazilian Artificial Intelligence Plan,https://web.archive.org/web/20251116144948/https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/cct/documentacao/arquivos/ANEXO15_AtaDia2252024ReuniaodoCCT_primeirareuniaodeapresentacaodaversaodapropostadoPBIA_v3122024_FINAL.pdf,https://drive.google.com/file/d/1J-vXJpLqpnmCeVqADmHCou81job1iPYk/view?usp=sharing,Participation in multi-stakeholder working groups or advisory committees,Ordinary Meeting of the National Council for Science and Technology – with a non-deliberative character whose agenda was the debate of the proposal for the Brazilian Artificial Intelligence Plan. In addition to council members and government representatives representatives from entities such as producers and users of science and technology participated and the Brazilian Institute for Human Intelligent Creative and Sustainable Cities (https://www.ibrachics.org.br/). According to the Plan (p.5) more than 30 bilateral meetings were held with public and private institutions and 6 workshops as evidenced here.,Minister of Science Technology and Innovation representatives of Brazilian generative AI companies,https://web.archive.org/web/20251116150228/https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/05/estrategia-e-plano-de-inteligencia-artificial-vao-convergir-para-resolver-desafios-brasileiros-afirma-ministra,https://drive.google.com/file/d/1mi4siLsnqb7Jp6YxJl1nOhxM7xEgjcrE/view?usp=sharing,Written submissions from CSOs officially acknowledged in policy documents,The Minister of Science Technology and Innovation who coordinated the development of the plan met with representatives from Widelabs a company that develops generative AI solutions.The CEO of Widelabs presented the AmazonIA Brazilian Portuguese Language Model (LLM) developed in partnership with a Brazilian university and international companies which can be used in sectors such as education health and security. The minister stated that the initiative is welcome and that she has been listening to different sectors about Artificial Intelligence such as civil society researchers and large technology companies.,,,,,,1,CSO membership in audit or impact assessment bodies,The Brazilian Artificial Intelligence Observatory is part of Axis 5 of the Brazilian Artificial Intelligence Plan (PBIA) focused on 'supporting the regulatory and governance process of AI' and is part of the strategic actions of the Brazilian Artificial Intelligence Strategy.It works in conjunction with Cetic.brNIC.br and Ceptro.brNIC (entities that were the core management of the internet in Brazil) and has a network of partners such as C4AI CGEE and SEADE with a commitment to delivering solid and significant indicators. It is based on the principle of multi-sectoral cooperation between government academia and the technical community the private sector civil society and international organizations.,,,,,,,1,Brazilian Observatory of Artificial Intelligence,https://web.archive.org/web/20251116164052/https://obia.nic.br/s/sobre,-,Participation in AI observatories,The Brazilian Artificial Intelligence Observatory is part of Axis 5 of the Brazilian Artificial Intelligence Plan (PBIA) focused on 'supporting the regulatory and governance process of AI' and is part of the strategic actions of the Brazilian Artificial Intelligence Strategy.It works in conjunction with Cetic.brNIC.br and Ceptro.brNIC (entities that were the core management of the internet in Brazil) and has a network of partners such as C4AI CGEE and SEADE with a commitment to delivering solid and significant indicators. It is based on the principle of multi-sectoral cooperation between government academia and the technical community the private sector civil society and international organizations.,,,,,,,,,,,,,,,
55-23-74-26,Bulgaria,BGR,Europe,Balkans (South East Europe),Developed,High income,"41969,45",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Concept for the Development of Artificial Intelligence in Bulgaria until 2030,https://web.archive.org/web/20250805150634/https://www.mtc.government.bg/sites/default/files/conceptforthedevelopmentofaiinbulgariauntil2030.pdf,https://drive.google.com/file/d/1vOpXG1XT5hT-n40wMJ3SjNTWD24yZ-aI/view?usp=drive_link,Strategy,2020-12-16,Non-Binding,Both actors,No it isn’t,,Yes,Interdepartmental Working Group,No,Yes,Yes,No,No,No,Yes,1,Public Consultation - Draft Concept for the Development of Artificial Intelligence in Bulgaria until 2030,https://web.archive.org/web/20251217103743/https://www.strategy.bg/bg/public-consultations/5337,https://drive.google.com/file/d/19AO7DZ-C5Un8_tgh_15s-V4BeQ8BtBab/view?usp=drive_link,Open public consultation (e.g. online comments public hearing),The draft concept was published on the official website of the Council of Ministers i.e. the Public Consultation Portal and one month was given to any CSO and any other interested parties to submit positions and papers. Few CSO submitted their positions that are visible at the bottom of the internet page and were also freely accessible by any visitors of the website. The contact details of the person responsible for this public consultation were provided as well as indication that the responsible institution is Ministry of Transport Information Technology and Communications and their contact details.,,,,,,,,,,,1,Multi-stakeholder advisory council including CSOs,It is proposed that an Interdepartmental Working Group which will include representatives of key state institutions district administrations academia business and professional associations and related NGOs (section 7.1 first paragraph). This working group should analyze the state of the sector map the expert units achievements and implemented innovations and prepare an operational National Plan / Roadmap for the implementation of the Concept which defines the specific measures deadlines responsible institutions and organizations expected results and indicators and sources of the necessary financial resources as well as organization for reporting on their implementation and their periodic updating.,,,,,,,0,,,,,,,,,,,,,,,,,,,,
94-58-75-31,Burkina Faso,BFA,Africa,West Africa,Developing,Low income,"2895,89",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,National workshop on AI,https://www.mdenp.gov.bf/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=1024&cHash=b9c89091470055a016f89f5176165793,I directly pasted the original link because i have some problem with the Internet Archive,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,On August 27th 2025 the digital economy ministry has organized a workshop for the National AI Action plan. This workshop brought together representatives from public institutions the private sector universities research centres civil society as well as technical and financial partners. By this way CSO participate to AI policy in Burkina Faso.,,,,,,,,,,,,,,,
