interview_key,country,ISO3,region,subregion,developing_developed,WB_income_group,GDP_per_capita_PPP,dimension,pillar,indicator,gmc_status,gmc_title,gmc_link,gmc_drive,gmc_type,gmc_approval,gmc_enforceability,gmc_reach,gmc_defence_and_security,gmc_defence_and_security_justif,gmc_body,gmc_body_name,gmc_plan,gmc_budget,gmc_monitoring,gmc_element1,gmc_element2,gmc_element3,gmc_consultation,gmc_consult_counts,gmc_consult1_name,gmc_consult1_link,gmc_consult1_drive,gmc_consult1_type,gmc_consult1_justif,gmc_consult2_name,gmc_consult2_link,gmc_consult2_drive,gmc_consult2_type,gmc_consult2_justif,gmc_consult3_name,gmc_consult3_link,gmc_consult3_drive,gmc_consult3_type,gmc_consult3_justif,gmc_particip_provis_counts,gmc_particip_provis1_type,gmc_particip_provis1_justif,gmc_particip_provis2_type,gmc_particip_provis2_justif,gmc_particip_provis3_type,gmc_particip_provis3_justif,gmc_particip_provis4_type,gmc_particip_provis4_justif,gmc_particip_mech_counts,gmc_particip_mech1_name,gmc_particip_mech1_link,gmc_particip_mech1_drive,gmc_particip_mech1_type,gmc_particip_mech1_justif,gmc_particip_mech2_name,gmc_particip_mech2_link,gmc_particip_mech2_drive,gmc_particip_mech2_type,gmc_particip_mech2_justif,gmc_particip_mech3_name,gmc_particip_mech3_link,gmc_particip_mech3_drive,gmc_particip_mech3_type,gmc_particip_mech3_justif,gmc_particip_mech4_name,gmc_particip_mech4_link,gmc_particip_mech4_drive,gmc_particip_mech4_type,gmc_particip_mech4_justif
83-14-08-86,Burundi,BDI,Africa,East Africa,Developing,Low income,"1194,95",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
76-13-58-37,Cambodia,KHM,Asia and Oceania,South East Asia,Developing,Lower middle income,"7966,87",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Draft,Draft National Artificial Intelligence Strategy (2025-2030) (Cambodia),https://web.archive.org/web/20250811180154/https://data.opendevelopmentcambodia.net/en/dataset/5524b0b4-bb31-4cad-abf4-a36f8e82073d/resource/a35e29b9-3dbf-4a5d-92a9-4d3558ed3c03/download/nais-v5-en-for-consultation-clean.pdf,https://drive.google.com/file/d/1JU9h7WbHOIZOyhQFOa1SMQC0g5hnXQza/view,Draft framework,2025-06-11,Non-Binding,Both actors,No it isn’t,,n/a,n/a,n/a,n/a,n/a,Partially,No,No,Yes,1,Progress of Preparing and Opening Public Consultation on Draft National Artificial Intelligence Strategy,https://web.archive.org/web/20251204032034/https://mptc.gov.kh/en/2025/06/announcement-on-progress-of-preparing-and-opening-public-consultation-on-draft-national-artificial-intelligence-strategy/,As the provided link is the announcement by the Ministry of Post and Telecommunications (MPTC) we cannot upload relevant documents onto the drive.,Participation in multi-stakeholder working groups or advisory committees,The initiative supported CSO participation by openly inviting CSOs to review and comment on the draft National AI Strategy providing public access to the documents and a structured feedback form and holding a multi-stakeholder workshop that included CSOs. The ministry also committed to reviewing and integrating all submitted feedback into the final strategy ensuring CSOs had opportunities to influence the policy.,,,,,,,,,,,2,Other,The draft Strategy outlines a 'National AI Observatory' (Strategic Priority 5 Flagship Activity 4) to monitor ethical and responsible AI adoption. Including CSO representation is justified because Strategic Priority 6 commits to a “multi-stakeholder approach” involving civil society in implementation (Section III p.16-17; Measures 6.2 and 6.6). Embedding CSOs in the Observatory or ethics bodies strengthens transparency aligns with the Strategy’s collaboration principles and ensures societal perspectives are reflected in monitoring.,AI observatory or ethics committee with CSO representation,The Strategy repeatedly mandates a 'multi-stakeholder approach' making this mechanism well aligned with its design. Sec.III (Strategic Priority 6 p.16-17) requires creating an environment for collaboration among government private sector academia and 'civil society' (Measures 6.2 and 6.6). The Conclusion (p.18) further states that implementation depends on cooperation with CSOs. Using multi-stakeholder mechanisms therefore reflects the Strategy’s intent and ensures inclusive representative implementation.,,,,,1,The Fourth Cambodia ICT and Digital Forum: Dialogue on the Digital Development,https://web.archive.org/web/20251204032623/https://camidf.net/article/fourth-CamIDF,As the provided link is an article by CamIDF we cannot upload relevant documents onto the drive.,Other,The Fourth CamIDF enables CSO participation in AI governance by providing a multi-stakeholder forum where civil society can engage directly with government private sector and technical experts. Through open discussions on AI ethics data protection and digital rights CSOs can raise concerns influence policy directions and strengthen oversight. The forum’s focus on knowledge-sharing and cooperation also builds CSO capacity to monitor and shape future AI governance.,,,,,,,,,,,,,,,
05-98-68-69,Cameroon,CMR,Africa,Central Africa,Developing,Lower middle income,"5588,99",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
84-60-47-79,Canada,CAN,Northern America,,Developed,High income,"64610,38",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Pan-Canadian Artificial Intelligence Strategy (Canada),https://web.archive.org/web/20250917131122/https://ised-isde.canada.ca/site/ai-strategy/en,https://drive.google.com/file/d/1M9_rb1nzlU3DFjsVGbRmMxPKu2gZ07eA/view?usp=drive_link,Strategy,2017-03-22,Non-Binding,Both actors,No it isn’t,,No,n/a,No,Yes,No,No,No,Partially,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,AI Strategy Task Force,https://web.archive.org/web/20250930230428/https://www.canada.ca/en/innovation-science-economic-development/news/2025/09/government-of-canada-launches-ai-strategy-task-force-and-public-engagement-on-the-development-of-the-next-ai-strategy.html,https://drive.google.com/file/d/1O2JxKMQOGtXIqLWYJuSMmL52nRFNlH7K/view?usp=drive_link,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,This task force consists of representatives from corporations universities and CSOs (one example is Centre for International GovernanceInnovation CIGI)  and serves as a way for such stakeholders to provide actionable insights and recommendations on Research and Talent; Adoption across industry and governments; Commercialization of AI; Scaling our champions and attracting investment; Building safe AI systems and public trust in AI; Education and Skills; Infrastructure; and Security. By informing the development of the new AI strategy they directly participate in AI Governance of Canada.,,,,,,,,,,,,,,,
31-77-73-16,Central African Republic,CAF,Africa,Central Africa,Developing,Low income,"1263,10",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
19-20-54-49,Chad,TCD,Africa,Central Africa,Developing,Low income,"2742,66",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
97-61-38-20,Chile,CHL,South and Central America,South America,Developing,High income,"36181,16",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Chilean National Policy on Artificial Intelligence (UPDATE 2024),https://web.archive.org/web/20251011235154/https://drive.google.com/file/d/11OLxLp8NyKgpeRFLe45X0zStY7SFEJIC/view,https://drive.google.com/file/d/1R6jw0hr2bslWntrivXDm1Cvi7dY4n56o/view?usp=drive_link,Policy,2025-01-28,Non-Binding,Both actors,No it isn’t,,Yes,Ministry of Science Technology Knowledge and Innovation,Yes,No,Yes,Yes,No,No,Yes,1,Public consultation on the National AI Policy - Results Report 2024,https://web.archive.org/web/20251206182603/https://drive.google.com/file/d/1feyZ3GSPyxKXEEvi9aVZA9jS6aHdC-96/view,https://drive.google.com/file/d/18J3rQ0UGFdJy6Apm0ad2nz1OR75p9ADc/view?usp=drive_link,Open public consultation (e.g. online comments public hearing),The public consultation explicitly enabled CSO participation by inviting all citizens and organizations to submit feedback via an online form disseminated across social media (pp. 2–3). The results report details participation from over 150 organizations including NGOs academia and the private sector (p. 6) and shows how their input influenced updates to specific sub-axes. However the government’s report only describes how input was collected and general themes raised; the public consultation did not include any provision or mechanism to demonstrate how specific CSO feedback was formally incorporated into the final policy decisions.,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
78-43-31-47,China,CHN,Asia and Oceania,East Asia,Developing,Upper middle income,"27104,87",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Opinions of the State Council on Deepening the Implementation of the “Artificial Intelligence+” Initiative (China),https://web.archive.org/web/20251007035617/https://www.gov.cn/zhengce/content/202508/content_7037861.htm,https://drive.google.com/file/d/11cVKEheQq67cAWzosx7OZiNL9UerOX0C/view?usp=drive_link,Strategy,2025-08-26,Non-Binding,Both actors,No it isn’t,,Yes,National Development and Reform Commission (NDRC),Yes,No,No,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,Public Solicitation of Opinions on AI Governance Framework Draft for Comments,https://web.archive.org/web/20250823045526/https://www.cac.gov.cn/2024-09/14/c_1728000676244628.htm,-,Other,Regulatory bodies sometimes release draft regulations for public comment. The public can send their opinions and feedback through email or mail to the bodies within one month after the notice is released. The archived webpage shows the Cybersecurity Administration of China issuing a notice of public solicitation of opinions for 'the Measures for the Labelling of Artificial Intelligence-Generated and Synthetic Content' released on Sep 14 2024 with the consultation deadline on Oct 14. The formal framework came out in March 2025.,,,,,,,,,,,,,,,
45-63-93-73,China Hong Kong Special Administrative Region,HKG,Asia and Oceania,East Asia,Developing,High income,"75195,99",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,Written Submissions,https://www.cedb.gov.hk/en/policies/writtensubmissions.html,,Other,CSO can send in submissions with existing consultation opportunities. There are currently no AI related consultations. The government held a consultation on copyright and artificial intelligence on 3 July 2024- 8 September 2024 regarding the enhancement of the Copyright Ordinance (Cap 528) on the protection of the copyright of works generated by generative AI copyright infringement liability of AI Possible introduction of specific copyright exception and other issues related to copyright and generative AI.The consultation received 60 submissions from the public enterprises and industry associations which are publicly available. Included the original link in the public evidence box as wayback machine returned an error.,,,,,,,,,,,,,,,
96-08-54-39,Colombia,COL,South and Central America,South America,Developing,Upper middle income,"22349,44",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Artificial Intelligence Policy (CONPES 4144) (2025)(Colombia),https://web.archive.org/web/20250826131733/https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/4144.pdf,https://drive.google.com/file/d/1uMwfHyK-ooygp_Z0uJVZ-Za7OynhiStb/view?usp=drive_link,Policy,2025-02-14,Non-Binding,Both actors,No it isn’t,,Yes,National Advisory Council of AI Experts,Yes,Yes,Yes,No,No,No,Yes,2,Artificial intelligence as a key driver for Colombia's social and economic development (Public consultation on the National Artificial Intelligence Policy),https://web.archive.org/web/20251210015759/https://www.dnp.gov.co/publicaciones/Planeacion/Paginas/Forms/DispForm.aspx?ID=231&RootFolder=%2A&,,Participation in multi-stakeholder working groups or advisory committees,The draft CONPES on AI was presented in August 2024 for public comment receiving more than 1000 contributions. In addition consultation sessions were held (17–18 September) with opportunities for open dialogue and active participation by civil society academia and the private sector which allowed proposals to be adjusted and the policy to be enriched.,Colombia: roundtables for formulation of CONPES 4144 2025,https://web.archive.org/web/20251210022416/https://minciencias.gov.co/sites/default/files/upload/noticias/ram_informe_unesco-colombia_versionfinal_oct2025_2.pdf,https://drive.google.com/file/d/1LLRNaljzrDf8OW75V0AImgXzCX3Bm1Th/view?usp=drive_link,Open public consultation (e.g. online comments public hearing),CONPES 4144 of 2025 the Roadmap for the Development and Adoption of Artificial Intelligence in Colombia by MinCiencias and the Colombia PotencIA Digital strategy by MinTIC involved multiple stakeholders including civil society in working groups and regional dialogues. Specifically for the CONPES document 15 roundtables were held with 137 participants (public sector private sector academia and CSOs) and regional dialogues with more than 3000 people providing input for the National AI Policy (UNESCO pp. 15 58 and 59).,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
05-87-27-44,Congo,COG,Africa,Central Africa,Developing,Lower middle income,"7026,36",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
80-43-56-71,Costa Rica,CRI,South and Central America,Central America,Developing,High income,"31106,76",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Artificial Intelligence Strategy 2024-2027 (Costa Rica),https://web.archive.org/web/20250923110850/https://www.micitt.go.cr/sites/default/files/2025-02/National%20Artificial%20Intelligence%20Strategy%20of%20Costa%20Rica.pdf,https://drive.google.com/file/d/1GCSHVH9U5A-4bvzvnVrLrdiN-Bl1upgJ/view?usp=drive_link,Strategy,2024-10-24,Non-Binding,Both actors,No it isn’t,,Yes,Ministry of Science Innovation Technology and Telecommunications,No,No,Yes,Partially,No,No,Yes,1,National Artificial Intelligence Strategy 2024-2027,https://web.archive.org/web/20250923110850/https://www.micitt.go.cr/sites/default/files/2025-02/National%20Artificial%20Intelligence%20Strategy%20of%20Costa%20Rica.pdf,https://drive.google.com/file/d/1GCSHVH9U5A-4bvzvnVrLrdiN-Bl1upgJ/view?usp=drive_link,Participation in multi-stakeholder working groups or advisory committees,The ENIA 2024-2027 states at p.3 that the strategy was jointly validated with the public sector civil society the private sector and academia aiming to align national efforts toward a long-term vision. At p.5 the document lists the specific actors involved in this process including named civil society organisations confirming CSO participation in the strategy's multi-stakeholder development and validation process.,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
63-54-60-85,Cote d'Ivoire,CIV,Africa,West Africa,Developing,Lower middle income,"7669,23",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Côte d'Ivoire's National Artificial Intelligence Strategy (SNIA) for 2030,https://web.archive.org/web/20251219093217/https://telecom.gouv.ci/new/uploads/publications/174196670372.pdf,https://drive.google.com/file/d/1Ky4T8VloMao9Cx2hRkp8lyy5o9Io0hNT/view?usp=drive_link,Strategy,2025-03-13,Non-Binding,Both actors,No it isn’t,,Yes,National Artificial Intelligence Agency/Agence National de l'IA (ANIA),Yes,Yes,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,2,Multi-stakeholder advisory council including CSOs,SNIA 2030 explicitly provides for a multi-stakeholder advisory board that clearly includes civil society organizations (CSOs) within the National Artificial Intelligence Council (CNIA). The CNIA is presented as a permanent advisory body attached to the National Artificial Intelligence Agency. It is responsible for ensuring inclusive and participatory governance. Specific references in the official document: Page 57 (section “Governance” / “Governance bodies”) (Page 58 (subsection “Composition of the CNIA”). The SNIA specifies that 20% of members must come from CSOs. These provisions aim to ensure inclusive governance that is representative of social diversity and attentive to ethical inclusion and equity issues.,CSO membership in audit or impact assessment bodies,SNIA 2030 explicitly provides for the participation/involvement of CSOs in the bodies or mechanisms responsible for auditing and evaluating the impact of the AI strategy and projects. In fact CSOs must be part of the steering committee for each independent audit (minimum quota of 15-20%). They must participate in defining the terms of reference selecting the firm and validating the final report of the Independent Audits on AI technological solutions to be deployed and/or currently in use. Audéka it is also planned that any algorithmic impact assessment (AIA) or social impact assessment may include at least one CSO representing vulnerable groups in the panel of assessors.,,,,,0,,,,,,,,,,,,,,,,,,,,
19-09-81-64,Croatia,HRV,Europe,Balkans (South East Europe),Developed,High income,"49550,79",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
69-80-72-47,Democratic Republic of the Congo,COD,Africa,Central Africa,Developing,Low income,"1821,05",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
98-36-67-92,Dominican Republic,DOM,Caribbean,,Developing,Upper middle income,"27541,66",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Artificial Intelligence Strategy of the Dominican Republic,https://web.archive.org/web/20251020164310/https://agendadigital.gob.do/wp-content/uploads/2023/10/Final_ENIA-Estrategia-Nacional-de-Inteligencia-Artificial-de-la-Republica-Dominicana-.pdf,https://drive.google.com/file/d/1zhI6eM3Mu7AVy9ZPeymljjd1t6R6MSpF/view?usp=drive_link,Strategy,2023-10-11,Non-Binding,Both actors,No it isn’t,,Yes,General Directorate of Innovation and Digital Development,Yes,No,Yes,No,No,No,Yes,1,National Artificial Intelligence Strategy of the Dominican Republic,https://web.archive.org/web/20260209132457/https://consultapublica.notion.site/Consulta-P-blica-para-la-Estrategia-Nacional-de-Inteligencia-Artificial-de-la-Rep-blica-Dominicana--e58e40a872fc4d79a58766fdcf4d14f3,https://drive.google.com/file/d/1zhI6eM3Mu7AVy9ZPeymljjd1t6R6MSpF/view?usp=drive_link,Open public consultation (e.g. online comments public hearing),The Dominican Republic’s National Artificial Intelligence Strategy was developed through a participatory process that included thematic working groups and an open public consultation with a public forum/space for citizens to submit comments and proposals bringing together hundreds of participants from government the private sector NGOs universities and individual citizens to foster inclusive dialogue and contribute analyses and proposals across areas such as ethics infrastructure education R&D financing and governance (p 15).,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
58-11-12-11,Ecuador,ECU,South and Central America,South America,Developing,Upper middle income,"15840,27",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Draft,Organic Law Project for the Regulation and Promotion of Artificial Intelligence in Ecuador,https://web.archive.org/web/20260115153802/https://publico.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/474d299c-7ae6-4b11-9bf0-097a0c9c75cb/pp%20-%20proyecto%20de%20ley%20450889-nu%F1ez.pdf,https://drive.google.com/file/d/1n53XOy2a0iIgsYHOjgMnqek_MRW7Ix2w/view?usp=drive_link,Draft framework,2024-06-20,Binding,Both actors,No it isn’t,,n/a,n/a,n/a,n/a,n/a,Partially,No,No,Yes,1,Multi-sectoral technical committee and deliberative consultation process for the development of the Organic Law on Artificial Intelligence,https://web.archive.org/web/20260115153802/https://publico.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/474d299c-7ae6-4b11-9bf0-097a0c9c75cb/pp%20-%20proyecto%20de%20ley%20450889-nu%F1ez.pdf,https://drive.google.com/file/d/1n53XOy2a0iIgsYHOjgMnqek_MRW7Ix2w/view,Participation in multi-stakeholder working groups or advisory committees,The draft Organic Law on Artificial Intelligence was developed through a multi-actor deliberative process that included civil society organizations indigenous peoples feminist groups consumer associations academia and the private sector. Page 6 of the Draft Law states that the regulatory vision resulted from an “intense deliberative process” involving civil society actors. Page 79 provides that a multi-sectoral technical committee including representatives of public institutions academia the private sector and civil society must participate in the preparation of the National AI Strategy. The framework also promotes ongoing multisectoral participation in governance and policy updates (Art.45).,,,,,,,,,,,1,AI observatory or ethics committee with CSO representation,The draft law establishes formal mechanisms for civil society participation in AI governance and oversight. Art.49 creates the National Ethics Committee in Artificial Intelligence Research (CNEI-IA) composed of experts and representatives of civil society to review AI research with potential human rights impacts. Art.65 establishes a Citizen Observatory of AI and Justice including universities bar associations civil society organizations consumers and users of the justice system to monitor the use and impacts of AI in the justice sector. In addition Art.45 requires that updates to the National AI Strategy occur through a participatory multi-stakeholder process including civil society.,,,,,,,0,,,,,,,,,,,,,,,,,,,,
61-96-46-15,Egypt,EGY,Africa,North Africa,Developing,Lower middle income,"19094,14",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Egypt National Artificial Intelligence Strategy (Second Edition) (2025-2030),https://ai.gov.eg/SynchedFiles/en/Resources/AIstrategy%20English%2016-1-2025-1.pdf,https://drive.google.com/file/d/12byeMScvOh_H7v2P8pzxtwzecfXhHhmd/view?usp=sharing,Strategy,2025-01-16,Non-Binding,Both actors,No it isn’t,,Yes,National Council for AI,Yes,Yes,Yes,Partially,Partially,Partially,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,AI Readiness Assessment Methodology consultation,https://www.dailynewsegypt.com/2025/02/17/egypt-hosts-ai-readiness-assessment-methodology-consultation/,,Other,The Egyptian Ministry of Communications and Information Technology in collaboration with the United Nations Educational Scientific and Cultural Organization (UNESCO) has launched a consultation on Egypt’s Readiness Assessment Methodology (RAM) for artificial intelligence (AI). The consultation sessions focus on four key areas where AI plays a pivotal role: policies and legislation cultural and social domains scientific research and infrastructure and the economic sector. These sessions included participation from diverse stakeholders and experts including representatives from the public and private sectors academia civil society and young entrepreneurs. However it is an had oc mechanism rather than permanent.,,,,,,,,,,,,,,,
11-85-50-97,El Salvador,SLV,South and Central America,Central America,Developing,Upper middle income,"13264,03",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Artificial Intelligence Promotion and Technologies Act of El Salvador,https://web.archive.org/web/20260119153335/https://www.asamblea.gob.sv/sites/default/files/documents/decretos/61EBAFA4-8774-432D-B802-DF8A34B95679.pdf,https://docs.google.com/document/d/1EPGaftPpEO6CVtD0diGqFoKu5yX7b1VaWx0yvher6yY/edit?usp=share_link,Law,2025-02-26,Binding,Both actors,No it isn’t,,Yes,National Agency for Artificial Intelligence (ANIA),n/a,n/a,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
35-31-88-13,Estonia,EST,Europe,North Europe,Developed,High income,"49968,71",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,Estonia’s National Artificial Intelligence Strategy or Kratt Strategy for 2022–2023,https://e964029b-7c32-42a7-817c-37c391a3b976.filesusr.com/ugd/980182_4434a890f1e64c66b1190b0bd2665dc2.pdf,https://drive.google.com/file/d/1EJ2PhOUCBR0oknOyKTEafLvPwfk72Js-/view,Strategy,2022-01-01,Non-Binding,Both actors,No it isn’t,,Yes,Ministry of Economic Affairs and Communications Ministry of Justice  Ministry of Education and Research,Yes,Yes,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
33-32-75-65,Ethiopia,ETH,Africa,East Africa,Developing,Low income,"3287,53",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Artificial Intelligence Policy (Ethiopia),https://web.archive.org/web/20251228135750/https://www.lawethiopia.com/images/Policy_documents/Ethiopian%20ai%20policy.pdf,https://drive.google.com/file/d/12umdMRz-6yg6SvN6fYNWI3K1CGvAAjUj/view?usp=sharing,Policy,2024-06-27,Non-Binding,Both actors,No it isn’t,,Yes,Ethiopian Artificial Intelligence Institute,Yes,No,Yes,No,No,No,No,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
89-66-41-74,France,FRA,Europe,Western Europe,Developed,High income,"62556,92",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,Adopted,National Strategy for Artificial Intelligence (Third Phase) (France),https://web.archive.org/web/20260126182223/https://www.info.gouv.fr/actualite/ia-une-nouvelle-impulsion-pour-la-strategie-nationale,https://drive.google.com/file/d/1CR3PuMJ6TTVr6htccmS_0TUzsC_rV1OX/view?usp=drive_link,Strategy,2025-02-06,Non-Binding,Both actors,No it isn’t,,Yes,National Coordinator for Artificial Intelligence,Yes,Yes,Yes,Partially,No,No,Yes,1,Participation in committee on generative artificial intelligence,https://www.info.gouv.fr/communique/comite-de-lintelligence-artificielle,https://drive.google.com/file/d/1PcmzRt28DY7KHYiU-THkxFZ0Jiw5l96c/view?usp=drive_link,Participation in multi-stakeholder working groups or advisory committees,The 'Generative AI Committee' was formally tasked by the Prime Minister to 'present concrete proposals' to 'adapt our national strategy' (p. 1). Its composition explicitly ensured multi-stakeholder participation by including civil society representatives like Franca Salis-Madinier (CFDT Cadres union p. 2) and Martin Tisné (Open Government Partnership p. 2). The committee functioned as a diverse working group to 'enlighten Government decisions' (p. 1)  ensuring that non-state perspectives on 'societal' and 'ethical' issues (p. 1)  directly shaped the strategic recommendations delivered to the government.,,,,,,,,,,,3,Multi-stakeholder advisory council including CSOs,The Phase 3 National Strategy explicitly mandates the National Digital Council (CNNum) to lead ongoing civil society participation. On page 26 the strategy tasks this independent consultative commission with 'structuring a system of democratic debates' (Café IA) and 'bringing together stakeholders... to collectively build' AI awareness initiatives. Additionally the Prime Minister's editorial (p. 3) and the 'Empowering the Nation' section (p. 25) establish a formal 'social dialogue' mechanism involving 'professional trade unions' to co-develop regulations and oversee AI's impact on work ensuring a permanent channel for non-state actor inclusion in governance.,AI observatory or ethics committee with CSO representation,The Phase 3 Strategy establishes two key oversight bodies: INESIA (National Institute for AI Assessment and Security p. 25) for technical evaluation and LaborIA (p. 36) a dedicated 'action-research laboratory' to 'analyze and experiment with the impacts of AI technologies on work' LaborIA is explicitly tasked with 'fostering public debate on the major social implications of AI.' Crucially the strategy mandates that these oversight mechanisms operate within a framework of 'social dialogue' that formally involves 'workers and unions' (CSOs) in 'developing regulations and disseminating use' (p. 3 36) ensuring civil society representation in monitoring AI's societal impact.,CSO membership in audit or impact assessment bodies,The Phase 3 Strategy explicitly designates LaborIA (p. 36) as the national body responsible for 'analysing and experimenting with the impacts of AI technologies on work.' While LaborIA leads the technical assessment the strategy mandates that this oversight be conducted through a formal 'social dialogue' involving Trade Unions (CSOs). The Prime Minister’s editorial (p. 3) and the governance section (p. 25) state that 'Harnessing AI means involving all of society (workers and unions) in developing its regulations' thereby ensuring that civil society representatives are active participants in the bodies assessing AI's societal and labour impacts.,,,2,Artificial Intelligence and Digital Council,https://www.conseil-ia-numerique.fr/le-conseil,https://drive.google.com/file/d/1M-V2fcRyZLqq0kjeCB9XFmJFUgupHP7t/view?usp=drive_link,Oversight advisory policy monitoring and evaluation bodies where CSOs have a seat,The Council institutionalizes the participation of Civil Society Organizations by reserving eight of its 17 seats for 'qualified personalities' from the associative sector and civil society. It is statutorily mandated to consult civil society regularly to advise the government on the societal and economic impacts of Artificial Intelligence. This mechanism provides an independent permanent platform for non-state actors to formulate recommendations and oversee policy development to ensure technological progress aligns with the general interest.,Le LaborIA,https://www.laboria.ai/le-laboria/,https://drive.google.com/file/d/1mM4fq3xsEuqHclHxCHdukdSvxklET-Gf/view?usp=drive_link,Participation in AI observatories,Le LaborIA is a research-action laboratory co-led by the Ministry of Labour and Inria. It facilitates Civil Society Organization participation through its Executive Committee (COMEX) which explicitly includes 'qualified personalities' recognized for their expertise in Artificial Intelligence and work-related issues. The mechanism supports participation by producing pedagogical tools and publications for 'organisations syndicales' (trade unions) and employee representatives. By integrating these stakeholders into research projects and public debates the initiative ensures that social partners and non-state actors can evaluate risks and influence the conditions for integrating Artificial Intelligence into professional environments to protec,,,,,,,,,,
95-01-46-99,Gambia,GMB,Africa,West Africa,Developing,Low income,"3475,61",AI Use in Public Service,CSO Engagement,Government Mechanisms for CSO Inclusion in AI Policy and Governance,No framework,,,,No framework,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
